Race,Precinct,PrecinctCode,Name,Party,Votes
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,27.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Cornel West,Progressive Party,2.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Oliver/Mike LBT Chase Maat ter,,4.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Trump/JD Donald Vance J,Republican Party,809.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Stein/Rudolph PGP Ware Jill,,12.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,D DEM Harris/Tim Kamala Walz,,588.0
United States President and Vice President,111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,9.0
United States President and Vice President,112 - Warrenton East,112.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,16.0
United States President and Vice President,112 - Warrenton East,112.0,Cornel West,Progressive Party,1.0
United States President and Vice President,112 - Warrenton East,112.0,Oliver/Mike LBT Chase Maat ter,,2.0
United States President and Vice President,112 - Warrenton East,112.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,112 - Warrenton East,112.0,Trump/JD Donald Vance J,Republican Party,417.0
United States President and Vice President,112 - Warrenton East,112.0,Stein/Rudolph PGP Ware Jill,,3.0
United States President and Vice President,112 - Warrenton East,112.0,D DEM Harris/Tim Kamala Walz,,437.0
United States President and Vice President,112 - Warrenton East,112.0,Write-in Totals,,3.0
United States President and Vice President,113 - Warrenton West,113.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,53.0
United States President and Vice President,113 - Warrenton West,113.0,Cornel West,Progressive Party,4.0
United States President and Vice President,113 - Warrenton West,113.0,Oliver/Mike LBT Chase Maat ter,,15.0
United States President and Vice President,113 - Warrenton West,113.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,113 - Warrenton West,113.0,Trump/JD Donald Vance J,Republican Party,1233.0
United States President and Vice President,113 - Warrenton West,113.0,Stein/Rudolph PGP Ware Jill,,17.0
United States President and Vice President,113 - Warrenton West,113.0,D DEM Harris/Tim Kamala Walz,,991.0
United States President and Vice President,113 - Warrenton West,113.0,Write-in Totals,,17.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,16.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Cornel West,Progressive Party,1.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Oliver/Mike LBT Chase Maat ter,,2.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Randall Terry,Constitution Party,2.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Trump/JD Donald Vance J,Republican Party,419.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Stein/Rudolph PGP Ware Jill,,3.0
United States President and Vice President,114 - Clatsop Plains North,114.0,D DEM Harris/Tim Kamala Walz,,341.0
United States President and Vice President,114 - Clatsop Plains North,114.0,Write-in Totals,,2.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,13.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Cornel West,Progressive Party,1.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Oliver/Mike LBT Chase Maat ter,,5.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Randall Terry,Constitution Party,3.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Trump/JD Donald Vance J,Republican Party,639.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Stein/Rudolph PGP Ware Jill,,3.0
United States President and Vice President,115 - Clatsop Plains South,115.0,D DEM Harris/Tim Kamala Walz,,627.0
United States President and Vice President,115 - Clatsop Plains South,115.0,Write-in Totals,,4.0
United States President and Vice President,116 - Gearhart,116.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,12.0
United States President and Vice President,116 - Gearhart,116.0,Cornel West,Progressive Party,1.0
United States President and Vice President,116 - Gearhart,116.0,Oliver/Mike LBT Chase Maat ter,,4.0
United States President and Vice President,116 - Gearhart,116.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,116 - Gearhart,116.0,Trump/JD Donald Vance J,Republican Party,492.0
United States President and Vice President,116 - Gearhart,116.0,Stein/Rudolph PGP Ware Jill,,8.0
United States President and Vice President,116 - Gearhart,116.0,D DEM Harris/Tim Kamala Walz,,803.0
United States President and Vice President,116 - Gearhart,116.0,Write-in Totals,,6.0
United States President and Vice President,117 - Seaside North,117.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,14.0
United States President and Vice President,117 - Seaside North,117.0,Cornel West,Progressive Party,1.0
United States President and Vice President,117 - Seaside North,117.0,Oliver/Mike LBT Chase Maat ter,,2.0
United States President and Vice President,117 - Seaside North,117.0,Randall Terry,Constitution Party,2.0
United States President and Vice President,117 - Seaside North,117.0,Trump/JD Donald Vance J,Republican Party,207.0
United States President and Vice President,117 - Seaside North,117.0,Stein/Rudolph PGP Ware Jill,,8.0
United States President and Vice President,117 - Seaside North,117.0,D DEM Harris/Tim Kamala Walz,,337.0
United States President and Vice President,117 - Seaside North,117.0,Write-in Totals,,1.0
United States President and Vice President,118 - Seaside West,118.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,9.0
United States President and Vice President,118 - Seaside West,118.0,Cornel West,Progressive Party,2.0
United States President and Vice President,118 - Seaside West,118.0,Oliver/Mike LBT Chase Maat ter,,4.0
United States President and Vice President,118 - Seaside West,118.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,118 - Seaside West,118.0,Trump/JD Donald Vance J,Republican Party,224.0
United States President and Vice President,118 - Seaside West,118.0,Stein/Rudolph PGP Ware Jill,,2.0
United States President and Vice President,118 - Seaside West,118.0,D DEM Harris/Tim Kamala Walz,,364.0
United States President and Vice President,118 - Seaside West,118.0,Write-in Totals,,2.0
United States President and Vice President,119 - Seaside East,119.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,18.0
United States President and Vice President,119 - Seaside East,119.0,Cornel West,Progressive Party,1.0
United States President and Vice President,119 - Seaside East,119.0,Oliver/Mike LBT Chase Maat ter,,0.0
United States President and Vice President,119 - Seaside East,119.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,119 - Seaside East,119.0,Trump/JD Donald Vance J,Republican Party,375.0
United States President and Vice President,119 - Seaside East,119.0,Stein/Rudolph PGP Ware Jill,,1.0
United States President and Vice President,119 - Seaside East,119.0,D DEM Harris/Tim Kamala Walz,,527.0
United States President and Vice President,119 - Seaside East,119.0,Write-in Totals,,1.0
United States President and Vice President,120 - Seaside South,120.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,35.0
United States President and Vice President,120 - Seaside South,120.0,Cornel West,Progressive Party,1.0
United States President and Vice President,120 - Seaside South,120.0,Oliver/Mike LBT Chase Maat ter,,3.0
United States President and Vice President,120 - Seaside South,120.0,Randall Terry,Constitution Party,2.0
United States President and Vice President,120 - Seaside South,120.0,Trump/JD Donald Vance J,Republican Party,458.0
United States President and Vice President,120 - Seaside South,120.0,Stein/Rudolph PGP Ware Jill,,6.0
United States President and Vice President,120 - Seaside South,120.0,D DEM Harris/Tim Kamala Walz,,743.0
United States President and Vice President,120 - Seaside South,120.0,Write-in Totals,,8.0
United States President and Vice President,121 - Necanicum,121.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,1.0
United States President and Vice President,121 - Necanicum,121.0,Cornel West,Progressive Party,0.0
United States President and Vice President,121 - Necanicum,121.0,Oliver/Mike LBT Chase Maat ter,,1.0
United States President and Vice President,121 - Necanicum,121.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,121 - Necanicum,121.0,Trump/JD Donald Vance J,Republican Party,185.0
United States President and Vice President,121 - Necanicum,121.0,Stein/Rudolph PGP Ware Jill,,2.0
United States President and Vice President,121 - Necanicum,121.0,D DEM Harris/Tim Kamala Walz,,151.0
United States President and Vice President,121 - Necanicum,121.0,Write-in Totals,,1.0
United States President and Vice President,122 - Arch Cape,122.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,3.0
United States President and Vice President,122 - Arch Cape,122.0,Cornel West,Progressive Party,4.0
United States President and Vice President,122 - Arch Cape,122.0,Oliver/Mike LBT Chase Maat ter,,1.0
United States President and Vice President,122 - Arch Cape,122.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,122 - Arch Cape,122.0,Trump/JD Donald Vance J,Republican Party,45.0
United States President and Vice President,122 - Arch Cape,122.0,Stein/Rudolph PGP Ware Jill,,2.0
United States President and Vice President,122 - Arch Cape,122.0,D DEM Harris/Tim Kamala Walz,,177.0
United States President and Vice President,122 - Arch Cape,122.0,Write-in Totals,,1.0
United States President and Vice President,123 - Cannon Beach,123.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,20.0
United States President and Vice President,123 - Cannon Beach,123.0,Cornel West,Progressive Party,4.0
United States President and Vice President,123 - Cannon Beach,123.0,Oliver/Mike LBT Chase Maat ter,,3.0
United States President and Vice President,123 - Cannon Beach,123.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,123 - Cannon Beach,123.0,Trump/JD Donald Vance J,Republican Party,267.0
United States President and Vice President,123 - Cannon Beach,123.0,Stein/Rudolph PGP Ware Jill,,9.0
United States President and Vice President,123 - Cannon Beach,123.0,D DEM Harris/Tim Kamala Walz,,696.0
United States President and Vice President,123 - Cannon Beach,123.0,Write-in Totals,,12.0
United States President and Vice President,124 - Hamlet,124.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,5.0
United States President and Vice President,124 - Hamlet,124.0,Cornel West,Progressive Party,1.0
United States President and Vice President,124 - Hamlet,124.0,Oliver/Mike LBT Chase Maat ter,,2.0
United States President and Vice President,124 - Hamlet,124.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,124 - Hamlet,124.0,Trump/JD Donald Vance J,Republican Party,127.0
United States President and Vice President,124 - Hamlet,124.0,Stein/Rudolph PGP Ware Jill,,2.0
United States President and Vice President,124 - Hamlet,124.0,D DEM Harris/Tim Kamala Walz,,139.0
United States President and Vice President,124 - Hamlet,124.0,Write-in Totals,,1.0
United States President and Vice President,125 - Elsie,125.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,7.0
United States President and Vice President,125 - Elsie,125.0,Cornel West,Progressive Party,1.0
United States President and Vice President,125 - Elsie,125.0,Oliver/Mike LBT Chase Maat ter,,0.0
United States President and Vice President,125 - Elsie,125.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,125 - Elsie,125.0,Trump/JD Donald Vance J,Republican Party,133.0
United States President and Vice President,125 - Elsie,125.0,Stein/Rudolph PGP Ware Jill,,2.0
United States President and Vice President,125 - Elsie,125.0,D DEM Harris/Tim Kamala Walz,,116.0
United States President and Vice President,125 - Elsie,125.0,Write-in Totals,,0.0
United States President and Vice President,Totals,,Shanahan Jr/Nicole Kennedy Robert F,We the People,408.0
United States President and Vice President,Totals,,Cornel West,Progressive Party,41.0
United States President and Vice President,Totals,,Oliver/Mike LBT Chase Maat ter,,85.0
United States President and Vice President,Totals,,Randall Terry,Constitution Party,23.0
United States President and Vice President,Totals,,Trump/JD Donald Vance J,Republican Party,9913.0
United States President and Vice President,Totals,,Stein/Rudolph PGP Ware Jill,,169.0
United States President and Vice President,Totals,,D DEM Harris/Tim Kamala Walz,,12533.0
United States President and Vice President,Totals,,Write-in Totals,,118.0
"US Representative, 1st District",101 - Astoria West,101.0,Bonamici Suzanne,Democratic Party,1959.0
"US Representative, 1st District",101 - Astoria West,101.0,Bob Todd,Republican Party,575.0
"US Representative, 1st District",101 - Astoria West,101.0,Christman LBT Joe,,71.0
"US Representative, 1st District",101 - Astoria West,101.0,Write-in Totals,,7.0
"US Representative, 1st District",102 - Astoria East,102.0,Bonamici Suzanne,Democratic Party,1242.0
"US Representative, 1st District",102 - Astoria East,102.0,Bob Todd,Republican Party,436.0
"US Representative, 1st District",102 - Astoria East,102.0,Christman LBT Joe,,62.0
"US Representative, 1st District",102 - Astoria East,102.0,Write-in Totals,,2.0
"US Representative, 1st District",103 - John Day/Walluski,103.0,Bonamici Suzanne,Democratic Party,360.0
"US Representative, 1st District",103 - John Day/Walluski,103.0,Bob Todd,Republican Party,320.0
"US Representative, 1st District",103 - John Day/Walluski,103.0,Christman LBT Joe,,18.0
"US Representative, 1st District",103 - John Day/Walluski,103.0,Write-in Totals,,0.0
"US Representative, 1st District",104 - Astoria South,104.0,Bonamici Suzanne,Democratic Party,666.0
"US Representative, 1st District",104 - Astoria South,104.0,Bob Todd,Republican Party,213.0
"US Representative, 1st District",104 - Astoria South,104.0,Christman LBT Joe,,44.0
"US Representative, 1st District",104 - Astoria South,104.0,Write-in Totals,,5.0
"US Representative, 1st District",105 - Svensen,105.0,Bonamici Suzanne,Democratic Party,411.0
"US Representative, 1st District",105 - Svensen,105.0,Bob Todd,Republican Party,550.0
"US Representative, 1st District",105 - Svensen,105.0,Christman LBT Joe,,25.0
"US Representative, 1st District",105 - Svensen,105.0,Write-in Totals,,1.0
"US Representative, 1st District",106 - Knappa,106.0,Bonamici Suzanne,Democratic Party,493.0
"US Representative, 1st District",106 - Knappa,106.0,Bob Todd,Republican Party,561.0
"US Representative, 1st District",106 - Knappa,106.0,Christman LBT Joe,,29.0
"US Representative, 1st District",106 - Knappa,106.0,Write-in Totals,,0.0
"US Representative, 1st District",107 - Westport/Hillcrest,107.0,Bonamici Suzanne,Democratic Party,114.0
"US Representative, 1st District",107 - Westport/Hillcrest,107.0,Bob Todd,Republican Party,209.0
"US Representative, 1st District",107 - Westport/Hillcrest,107.0,Christman LBT Joe,,12.0
"US Representative, 1st District",107 - Westport/Hillcrest,107.0,Write-in Totals,,0.0
"US Representative, 1st District",108 - Jewell,108.0,Bonamici Suzanne,Democratic Party,150.0
"US Representative, 1st District",108 - Jewell,108.0,Bob Todd,Republican Party,186.0
"US Representative, 1st District",108 - Jewell,108.0,Christman LBT Joe,,14.0
"US Representative, 1st District",108 - Jewell,108.0,Write-in Totals,,2.0
"US Representative, 1st District",109 - Olney,109.0,Bonamici Suzanne,Democratic Party,153.0
"US Representative, 1st District",109 - Olney,109.0,Bob Todd,Republican Party,260.0
"US Representative, 1st District",109 - Olney,109.0,Christman LBT Joe,,17.0
"US Representative, 1st District",109 - Olney,109.0,Write-in Totals,,1.0
"US Representative, 1st District",110 - Stanley Acres,110.0,Bonamici Suzanne,Democratic Party,95.0
"US Representative, 1st District",110 - Stanley Acres,110.0,Bob Todd,Republican Party,100.0
"US Representative, 1st District",110 - Stanley Acres,110.0,Christman LBT Joe,,4.0
"US Representative, 1st District",110 - Stanley Acres,110.0,Write-in Totals,,1.0
"US Representative, 1st District",111 - Lewis and Clark/Chadwell,111.0,Bonamici Suzanne,Democratic Party,620.0
"US Representative, 1st District",111 - Lewis and Clark/Chadwell,111.0,Bob Todd,Republican Party,721.0
"US Representative, 1st District",111 - Lewis and Clark/Chadwell,111.0,Christman LBT Joe,,35.0
"US Representative, 1st District",111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,2.0
"US Representative, 1st District",112 - Warrenton East,112.0,Bonamici Suzanne,Democratic Party,441.0
"US Representative, 1st District",112 - Warrenton East,112.0,Bob Todd,Republican Party,361.0
"US Representative, 1st District",112 - Warrenton East,112.0,Christman LBT Joe,,29.0
"US Representative, 1st District",112 - Warrenton East,112.0,Write-in Totals,,1.0
"US Representative, 1st District",113 - Warrenton West,113.0,Bonamici Suzanne,Democratic Party,1048.0
"US Representative, 1st District",113 - Warrenton West,113.0,Bob Todd,Republican Party,1108.0
"US Representative, 1st District",113 - Warrenton West,113.0,Christman LBT Joe,,74.0
"US Representative, 1st District",113 - Warrenton West,113.0,Write-in Totals,,2.0
"US Representative, 1st District",114 - Clatsop Plains North,114.0,Bonamici Suzanne,Democratic Party,354.0
"US Representative, 1st District",114 - Clatsop Plains North,114.0,Bob Todd,Republican Party,383.0
"US Representative, 1st District",114 - Clatsop Plains North,114.0,Christman LBT Joe,,19.0
"US Representative, 1st District",114 - Clatsop Plains North,114.0,Write-in Totals,,1.0
"US Representative, 1st District",115 - Clatsop Plains South,115.0,Bonamici Suzanne,Democratic Party,635.0
"US Representative, 1st District",115 - Clatsop Plains South,115.0,Bob Todd,Republican Party,589.0
"US Representative, 1st District",115 - Clatsop Plains South,115.0,Christman LBT Joe,,22.0
"US Representative, 1st District",115 - Clatsop Plains South,115.0,Write-in Totals,,1.0
"US Representative, 1st District",116 - Gearhart,116.0,Bonamici Suzanne,Democratic Party,790.0
"US Representative, 1st District",116 - Gearhart,116.0,Bob Todd,Republican Party,451.0
"US Representative, 1st District",116 - Gearhart,116.0,Christman LBT Joe,,25.0
"US Representative, 1st District",116 - Gearhart,116.0,Write-in Totals,,2.0
"US Representative, 1st District",117 - Seaside North,117.0,Bonamici Suzanne,Democratic Party,347.0
"US Representative, 1st District",117 - Seaside North,117.0,Bob Todd,Republican Party,185.0
"US Representative, 1st District",117 - Seaside North,117.0,Christman LBT Joe,,18.0
"US Representative, 1st District",117 - Seaside North,117.0,Write-in Totals,,0.0
Secretary of State,101 - Astoria West,101.0,Paravicini Nathalie,Pacfiic Green Party,155.0
Secretary of State,101 - Astoria West,101.0,Linthicum Dennis,Republican Party,639.0
Secretary of State,101 - Astoria West,101.0,Tobias Read,Democratic Party,1793.0
Secretary of State,101 - Astoria West,101.0,Write-in Totals,,2.0
Secretary of State,102 - Astoria East,102.0,Paravicini Nathalie,Pacfiic Green Party,107.0
Secretary of State,102 - Astoria East,102.0,Linthicum Dennis,Republican Party,477.0
Secretary of State,102 - Astoria East,102.0,Tobias Read,Democratic Party,1151.0
Secretary of State,102 - Astoria East,102.0,Write-in Totals,,2.0
Secretary of State,103 - John Day/Walluski,103.0,Paravicini Nathalie,Pacfiic Green Party,26.0
Secretary of State,103 - John Day/Walluski,103.0,Linthicum Dennis,Republican Party,346.0
Secretary of State,103 - John Day/Walluski,103.0,Tobias Read,Democratic Party,327.0
Secretary of State,103 - John Day/Walluski,103.0,Write-in Totals,,0.0
Secretary of State,104 - Astoria South,104.0,Paravicini Nathalie,Pacfiic Green Party,55.0
Secretary of State,104 - Astoria South,104.0,Linthicum Dennis,Republican Party,244.0
Secretary of State,104 - Astoria South,104.0,Tobias Read,Democratic Party,618.0
Secretary of State,104 - Astoria South,104.0,Write-in Totals,,2.0
Secretary of State,105 - Svensen,105.0,Paravicini Nathalie,Pacfiic Green Party,27.0
Secretary of State,105 - Svensen,105.0,Linthicum Dennis,Republican Party,591.0
Secretary of State,105 - Svensen,105.0,Tobias Read,Democratic Party,367.0
Secretary of State,105 - Svensen,105.0,Write-in Totals,,2.0
Secretary of State,106 - Knappa,106.0,Paravicini Nathalie,Pacfiic Green Party,39.0
Secretary of State,106 - Knappa,106.0,Linthicum Dennis,Republican Party,589.0
Secretary of State,106 - Knappa,106.0,Tobias Read,Democratic Party,453.0
Secretary of State,106 - Knappa,106.0,Write-in Totals,,0.0
Secretary of State,107 - Westport/Hillcrest,107.0,Paravicini Nathalie,Pacfiic Green Party,10.0
Secretary of State,107 - Westport/Hillcrest,107.0,Linthicum Dennis,Republican Party,209.0
Secretary of State,107 - Westport/Hillcrest,107.0,Tobias Read,Democratic Party,112.0
Secretary of State,107 - Westport/Hillcrest,107.0,Write-in Totals,,1.0
Secretary of State,108 - Jewell,108.0,Paravicini Nathalie,Pacfiic Green Party,13.0
Secretary of State,108 - Jewell,108.0,Linthicum Dennis,Republican Party,195.0
Secretary of State,108 - Jewell,108.0,Tobias Read,Democratic Party,142.0
Secretary of State,108 - Jewell,108.0,Write-in Totals,,0.0
Secretary of State,109 - Olney,109.0,Paravicini Nathalie,Pacfiic Green Party,12.0
Secretary of State,109 - Olney,109.0,Linthicum Dennis,Republican Party,277.0
Secretary of State,109 - Olney,109.0,Tobias Read,Democratic Party,131.0
Secretary of State,109 - Olney,109.0,Write-in Totals,,0.0
Secretary of State,110 - Stanley Acres,110.0,Paravicini Nathalie,Pacfiic Green Party,3.0
Secretary of State,110 - Stanley Acres,110.0,Linthicum Dennis,Republican Party,105.0
Secretary of State,110 - Stanley Acres,110.0,Tobias Read,Democratic Party,89.0
Secretary of State,110 - Stanley Acres,110.0,Write-in Totals,,0.0
Secretary of State,111 - Lewis and Clark/Chadwell,111.0,Paravicini Nathalie,Pacfiic Green Party,39.0
Secretary of State,111 - Lewis and Clark/Chadwell,111.0,Linthicum Dennis,Republican Party,749.0
Secretary of State,111 - Lewis and Clark/Chadwell,111.0,Tobias Read,Democratic Party,577.0
